0|1829|36R
1|1829|18L
2|1829|04
3|1829|22
4|1829|06
5|1829|24
6|1829|09
7|1829|27
8|1829|36C
9|1829|18C
10|1829|36L
11|1829|18R
12|1845|06
13|1845|24
14|1828|09
15|1828|27
16|1830|03
17|1830|21
18|1831|03
19|1831|21
20|1832|02
21|1832|20
22|1833|08
23|1833|26
24|1834|03
25|1834|21
26|1835|05
27|1835|23
28|1836|02
29|1836|20
30|1836|10
31|1836|28
32|1838|10
33|1838|28
34|1839|13
35|1839|31
36|1839|18
37|1839|36
38|1839|07
39|1839|25
40|1840|03
41|1840|21
42|1841|05
43|1841|23
44|1842|09
45|1842|27
46|1842|06
47|1842|24
48|1843|09
49|1843|27
50|1847|07
51|1847|25
52|1849|03
53|1849|21
54|1849|09
55|1849|27
56|1852|13
57|1852|31
58|1852|04
59|1852|22
60|1854|06L
61|1854|24R
62|1854|06R
63|1854|24L
64|1856|07
65|1856|25
