0|1887|12
1|1887|30
2|1887|22L
3|1887|04R
4|1887|04L
5|1887|22R
6|1907|08L
7|1907|26R
8|1883|10R
9|1883|28L
10|1886|09
11|1886|27
12|1896|32
13|1896|14
14|1905|09
15|1905|27
16|1888|08
17|1888|26
18|1894|03
19|1894|21
20|1894|11
21|1894|29
22|1893|06
23|1893|24
24|1891|O9R
25|1891|27L
26|1898|10L
27|1898|28R
28|1895|11
29|1895|29
30|1901|10
31|1901|28
32|1897|26
33|1897|08
