0|6390|03
1|6390|21
2|6390|13
3|6390|31
4|6391|11
5|6391|29
6|6392|16
7|6392|34
8|6394|10
9|6394|28
10|6396|09
11|6396|27
12|6397|14
13|6397|32
14|6398|09
15|6398|27
16|6399|14
17|6399|32
18|6419|14
19|6419|32
20|6416|15
21|6416|33
22|6425|16
23|6425|34
24|6434|09
25|6434|27
26|6435|08
27|6435|26
28|6437|13
29|6437|31
30|6401|13
31|6401|31
32|6402|12
33|6402|30
34|6404|16
35|6404|34
36|6405|07
37|6405|25
38|6409|07
39|6409|25
40|6411|04
41|6411|22
42|6413|09
43|6413|27
44|6414|15
45|6414|33
46|6417|18
47|6417|36
48|6422|16
49|6422|34
50|6424|10
51|6424|28
52|6426|13
53|6426|31
54|6430|04
55|6430|22
56|6431|15
57|6431|33
58|6410|06
59|6410|24
60|6432|17
61|6432|35
62|6436|10
63|6436|28
64|6438|10
65|6438|28
66|6439|01
67|6439|19
68|6441|09
69|6441|27
70|6442|05
71|6442|23
72|6443|10
73|6443|28
74|6444|03
75|6444|21
76|6445|04
77|6445|22
78|6446|07
79|6446|25
80|6447|07
81|6447|25
82|6440|17
83|6440|35
84|6403|15
85|6403|33
86|6448|04
87|6448|22
88|6449|08
89|6449|26
90|6460|18
91|6460|36
92|6462|11
93|6462|29
94|6463|04
95|6463|22
96|6466|04
97|6466|22
98|6467|14
99|6467|32
100|6485|13
101|6485|31
102|6468|06
103|6468|24
104|6471|06
105|6471|24
106|6471|07L
107|6471|25R
108|6471|07R
109|6471|25L
110|6482|13
111|6482|31
112|6484|16
113|6484|34
114|6465|14
115|6465|32
116|6472|09
117|6472|27
118|6473|16
119|6473|34
120|6474|05
121|6474|23
122|6475|12
123|6475|30
124|6478|17
125|6478|35
126|6480|15
127|6480|33
128|6481|09
129|6481|27
130|6487|11
131|6487|29
132|6489|14
133|6489|32
134|6491|17
135|6491|35
