0||500||0|28.4651897222222,-13.8641047222222|28.4316444444444,-13.8653044444444|28.4316444444444,-13.8653044444444|28.4319847222222,-13.8696558333333|28.4524141666667,-13.8716425|28.4653880555556,-13.8664380555556|28.4651897222222,-13.8641047222222;GCCC�GCFV_GND�000�005
1||500||0|28.6272333333333,-17.7549861111111|28.6251336111111,-17.7520363888889|28.6184075,-17.7519480555556|28.6184913888889,-17.7549108333333|28.6184913888889,-17.7549108333333|28.6272333333333,-17.7549861111111;GCCC�GCLA_GND�000�005
2||500||0|27.9446572222222,-15.3778736111111|27.9435325,-15.3748175|27.9283041666667,-15.3796555555556|27.9143819444444,-15.3869816666667|27.9161722222222,-15.3905405555556|27.9161722222222,-15.3905405555556|27.9446572222222,-15.3778736111111;GCCC�GCLP_GND_E�000�005
3||500||0|27.9174347222222,-15.3937105555556|27.9229372222222,-15.3989888888889|27.9438147222222,-15.3893052777778|27.9468158333333,-15.3835769444444|27.9459530555556,-15.3811505555556|27.9459530555556,-15.3811505555556|27.9174347222222,-15.3937105555556;GCCC�GCLP_GND_W�000�005
4||500||0|28.9351708333333,-13.6123413888889|28.9370208333333,-13.6162072222222|28.9525438888889,-13.6103858333333|28.9576727777778,-13.6031925|28.9563244444444,-13.6000119444444|28.9563244444444,-13.6000119444444|28.9351708333333,-13.6123413888889;GCCC�GCRR_GND�000�005
5||500||0|28.0385780555556,-16.5913436111111|28.0433438888889,-16.5934447222222|28.0555780555556,-16.5575497222222|28.0508736111111,-16.5557133333333|28.0508736111111,-16.5557133333333|28.0385780555556,-16.5913436111111;GCCC�GCTS_GND�000�005
6||2500||0|28.4890608333333,-16.3589236111111|28.4909947222222,-16.3580055555556|28.4886916666667,-16.3443213888889|28.4788630555556,-16.3236825|28.4775752777778,-16.3242811111111|28.4775752777778,-16.3242811111111|28.4890608333333,-16.3589236111111;GCCC�GCXO_GND�000�025
7||3500||0|28.4651897222222,-13.8641047222222|28.5528647222222,-13.8167358333333|28.5528647222222,-13.8167358333333|28.5428536111111,-13.7954333333333|28.5293811111111,-13.7767616666667|28.5129644444444,-13.7614380555556|28.4942352777778,-13.7500516666667|28.4739125,-13.7430397222222|28.4527777777778,-13.7406722222222|28.4316430555556,-13.7430397222222|28.4113202777778,-13.7500516666667|28.3925911111111,-13.7614380555556|28.3761744444444,-13.7767616666667|28.3627019444444,-13.7954333333333|28.3526908333333,-13.8167358333333|28.3465261111111,-13.8398505555556|28.3444444444444,-13.8638888888889|28.3465261111111,-13.8879272222222|28.3526908333333,-13.9110419444444|28.355,-13.9177777777778|28.355,-13.9177777777778|28.4316444444444,-13.8653044444444|28.4316444444444,-13.8653044444444|28.4651897222222,-13.8641047222222;GCCC�GCFV_TWR_E�000�035
8|500|3500||0|28.4651897222222,-13.8641047222222|28.4316444444444,-13.8653044444444|28.4316444444444,-13.8653044444444|28.4319847222222,-13.8696558333333|28.4524141666667,-13.8716425|28.4653880555556,-13.8664380555556|28.4651897222222,-13.8641047222222;GCCC�GCFV_TWR_FVG�005�035
9||3500||0|28.4316444444444,-13.8653044444444|28.355,-13.9177777777778|28.355,-13.9177777777778|28.5513888888889,-13.9152777777778|28.5513888888889,-13.9152777777778|28.5528647222222,-13.9110419444444|28.5590294444444,-13.8879272222222|28.5611111111111,-13.8638888888889|28.5590294444444,-13.8398505555556|28.5528647222222,-13.8167358333333|28.5528647222222,-13.8167358333333|28.4651897222222,-13.8641047222222|28.4651897222222,-13.8641047222222|28.4653880555556,-13.8664380555556|28.4524141666667,-13.8716425|28.4319847222222,-13.8696558333333|28.4316444444444,-13.8653044444444;GCCC�GCFV_TWR_W�000�035
10||2500||0|28.0404119444444,-17.1515058333333|28.0306575,-17.1504172222222|28.0209030555556,-17.1515058333333|28.0115233333333,-17.1547291666667|28.0028788888889,-17.1599636111111|27.9953022222222,-17.1670080555556|27.9890838888889,-17.1755919444444|27.9844636111111,-17.185385|27.9816183333333,-17.1960111111111|27.9795527777778,-17.2110858333333|27.9785919444444,-17.2221363888889|27.9795527777778,-17.2331869444444|27.9823980555556,-17.2438130555556|27.9870183333333,-17.2536058333333|27.9932366666667,-17.2621894444444|28.0008133333333,-17.2692338888889|28.0094577777778,-17.2744683333333|28.0188375,-17.2776916666667|28.0285919444444,-17.27878|28.0383463888889,-17.2776916666667|28.0441666666667,-17.2752777777778|28.0441666666667,-17.2752777777778|28.0285916666667,-17.2221361111111|28.0297122222222,-17.2223413888889|28.0326491666667,-17.2119705555556|28.0315855555556,-17.20731|28.0306583333333,-17.2070611111111|28.0404119444444,-17.1515058333333;GCCC�GCGM_I_TWR�000�025
11||2500||0|27.9544444444444,-17.9127777777778|27.8980555555556,-17.88|27.8964544444444,-17.8685630555556|27.8917122222222,-17.8508883333333|27.8840113888889,-17.8345988888889|27.8736477777778,-17.8203213888889|27.8610197222222,-17.8086038888889|27.8536111111111,-17.8036111111111|27.7208333333333,-17.7255555555556|27.6647222222222,-17.8475|27.6647222222222,-17.8475|27.7311111111111,-17.8861111111111|27.7313888888889,-17.8869444444444|27.73299,-17.9053258333333|27.7377322222222,-17.9230005555556|27.7454330555556,-17.93929|27.7557966666667,-17.9535675|27.7684247222222,-17.965285|27.7828319444444,-17.9739916666667|27.7984647222222,-17.9793533333333|27.8147222222222,-17.9811638888889|27.8309797222222,-17.9793533333333|27.8466125,-17.9739916666667|27.8610197222222,-17.965285|27.8616666666667,-17.9647222222222|27.9158333333333,-17.9963888888889|27.9544444444444,-17.9127777777778;GCCC�GCHI_TWR�000�025
