0|2512|16
1|2512|34
2|2510|03
3|2510|21
4|2508|16
5|2508|34
6|2507|02
7|2507|20
8|2506|02
9|2506|20
10|2505|10R
11|2505|28L
12|2505|10C
13|2505|28C
14|2504|17
15|2504|35
16|2503|06
17|2503|24
18|2502|05
19|2502|23
20|2501|15
21|2501|33
22|2499|18
23|2499|36
24|2498|09
25|2498|27
26|2497|01
27|2497|19
28|2496|11
29|2496|29
30|2495|18R
31|2495|36L
32|2495|18L
33|2495|36R
34|2493|06
35|2493|24
36|2494|08
37|2494|26
38|2492|07L
39|2492|25R
40|2491|15
41|2491|33
42|2490|17
43|2490|35
44|2489|18
45|2489|36
46|2488|14
47|2488|32
48|2486|08
49|2486|26
50|2485|16
51|2485|34
52|2484|08R
53|2484|26L
54|2483|08R
55|2483|26L
56|2483|08C
57|2483|26C
58|2482|04R
59|2482|22L
60|2481|14
61|2481|32
62|2480|14
63|2480|32
64|2479|10
65|2479|28
66|2478|05
67|2478|23
68|2477|09
69|2477|27
70|2476|16
71|2476|34
72|2475|12
73|2475|30
74|2474|14
75|2474|32
76|2472|17R
77|2472|35L
78|2471|13
79|2471|31
80|2470|14
81|2470|32
82|2469|02
83|2469|20
84|2468|12
85|2468|30
86|2467|12
87|2467|30
88|2467|09
89|2467|27
90|2466|14
91|2466|32
92|2465|15
93|2465|33
94|2463|01
95|2463|19
96|2461|18R
97|2461|36L
98|2461|18L
99|2461|36R
100|2459|08
101|2459|26
102|2458|13
103|2458|31
104|2457|03R
105|2457|21L
106|2457|03L
107|2457|21R
108|2456|07
109|2456|25
110|2455|09
111|2455|27
112|2454|16L
113|2454|34R
