0|2215|03
1|2215|21
2|2214|11
3|2214|29
4|2213|07
5|2213|25
6|2211|09
7|2211|27
8|2234|18R
9|2234|36L
10|2234|18L
11|2234|36R
12|2234|14R
13|2234|32L
14|2234|14L
15|2234|32R
16|2216|12
17|2216|30
18|2216|10
19|2216|28
20|2217|04
21|2217|22
22|2219|13
23|2219|31
24|2221|03
25|2221|21
26|2224|09
27|2224|27
28|2225|05
29|2225|23
30|2228|02
31|2228|20
32|2232|06
33|2232|24
34|2232|05
35|2232|23
36|2235|13
37|2235|31
38|2235|12
39|2235|30
40|2237|02
41|2237|20
42|2239|15
43|2239|33
44|2242|10
45|2242|28
46|2243|08
47|2243|26
48|2243|03
49|2243|21
50|2244|04
51|2244|22
52|2245|17
53|2245|35
54|2246|04
55|2246|22
56|2248|15
57|2248|33
58|2248|05
59|2248|23
60|2250|04
61|2250|22
62|2251|01
63|2251|19
64|2252|11
65|2252|29
66|2254|12R
67|2254|30L
68|2254|12L
69|2254|30R
70|2255|09
71|2255|27
72|4671|15
73|4671|33
74|2279|09
75|2279|27
76|2772|17
77|2772|35
78|2772|03
79|2772|21
80|2763|10
81|2763|28
82|2770|17
83|2770|35
84|4698|10
85|4698|28
86|2892|09
87|2892|27
88|4697|06
89|4697|24
90|4696|17
91|4696|35
92|4692|08
93|4692|26
94|2760|01R
95|2760|19L
96|2760|01L
97|2760|19R
98|2241|07
99|2241|25
100|2218|07R
101|2218|25L
102|2218|07L
103|2218|25R
104|2218|02
105|2218|20
106|2220|06
107|2220|24
108|2247|12
109|2247|30
110|2212|10
111|2212|28
112|2230|05R
113|2230|23L
114|2230|05L
115|2230|23R
116|2227|06
117|2227|24
