0|2948|08
1|2948|26
2|2964|10
3|2964|28
4|2976|05
5|2976|23
6|2983|09
7|2983|27
8|2984|12
9|2984|30
10|2995|07
11|2995|25
12|2999|04
13|2999|22
14|3015|09
15|3015|27
16|3015|15
17|3015|33
18|3031|07
19|3031|25
20|3031|16
21|3031|34
22|3049|05
23|3049|23
24|3049|14
25|3049|32
26|3057|09
27|3057|27
28|3083|11
29|3083|29
30|3106|11
31|3106|29
32|3128|06
33|3128|24
34|3128|15
35|3128|33
36|3131|06
37|3131|24
38|3131|11
39|3131|29
40|3140|03
41|3140|21
42|3140|13
43|3140|31
44|3141|06
45|3141|24
46|3141|18
47|3141|36
48|3160|05
49|3160|23
50|3160|14
51|3160|32
52|3162|18
53|3162|36
54|3167|05
55|3167|23
56|3192|13
57|3192|31
58|3206|18
59|3206|36
60|3232|03
61|3232|21
62|3232|10
63|3232|28
64|3238|08
65|3238|26
66|3238|16
67|3238|34
68|3239|02
69|3239|20
70|3239|11
71|3239|29
72|3239|16
73|3239|34
74|3258|08
75|3258|26
76|3258|12
77|3258|30
78|3275|13
79|3275|31
80|109|15
81|109|33
82|2449|08
83|2449|26
